#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","HD66","SAMN11953769","PRJNA546129","GCA_006337185.1"," Chromosome",2.52171,32.0984,"chromosome:NZ_CP040868.1/CP040868.1; plasmid pHD66_1:NZ_CP040869.1/CP040869.1; plasmid pHD66_2:NZ_CP040870.1/CP040870.1",,3,2280,"2019-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/185/GCA_006337185.1_ASM633718v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/185/GCF_006337185.1_ASM633718v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","AU23","SAMN04299194","PRJNA304324","GCA_001469315.1","Scaffold",2.48797,32.2,,"LNUS01",5,2215,"2015-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/315/GCA_001469315.1_ASM146931v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/315/GCF_001469315.1_ASM146931v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC11964","SAMEA3539716","PRJEB6403","GCA_900458535.1","Contig",2.38312,32.1,,"UHDG01",5,2176,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/535/GCA_900458535.1_41665_G02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/535/GCF_900458535.1_41665_G02"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","IIF6SC-B3-RA","SAMN15815316","PRJNA657113","GCA_014265365.1","Scaffold",2.50945,32,,"JACMXF01",17,2209,"2020-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/265/365/GCA_014265365.1_ASM1426536v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/265/365/GCF_014265365.1_ASM1426536v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","IIF6SC-B3","SAMN15815276","PRJNA657113","GCA_014266425.1","Scaffold",2.50901,32,,"JACMVR01",17,2209,"2020-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/266/425/GCA_014266425.1_ASM1426642v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/266/425/GCF_014266425.1_ASM1426642v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","ABKVE","SAMN17729842","PRJNA694925","GCA_022352745.1","Contig",2.46717,31.9,,"JAKSAE01",15,2237,"2022-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/352/745/GCA_022352745.1_ASM2235274v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/352/745/GCF_022352745.1_ASM2235274v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","SE66","SAMN12840239","PRJNA574294","GCA_008922245.1","Contig",2.44245,32,,"WBQC01",22,2206,"2019-10-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/922/245/GCA_008922245.1_ASM892224v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/922/245/GCF_008922245.1_ASM892224v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","R5980","SAMN15665297","PRJNA649052","GCA_015273335.1","Contig",2.5629,31.9,,"JACGRG01",26,2286,"2020-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/273/335/GCA_015273335.1_ASM1527333v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/273/335/GCF_015273335.1_ASM1527333v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","IF4SW-P4","SAMN15815230","PRJNA657113","GCA_014267055.1","Scaffold",2.53553,31.9,,"JACMTY01",18,2236,"2020-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/267/055/GCA_014267055.1_ASM1426705v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/267/055/GCF_014267055.1_ASM1426705v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","HAF81","SAMN17937441","PRJNA702288","GCA_017315595.1","Contig",2.46863,31.9,,"JAFFRQ01",22,2173,"2021-03-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/315/595/GCA_017315595.1_ASM1731559v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/315/595/GCF_017315595.1_ASM1731559v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","252","SAMN10411012","PRJNA505119","GCA_014156385.1","Scaffold",2.51557,31.9,,"RQJI01",10,2207,"2020-08-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/156/385/GCA_014156385.1_ASM1415638v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/156/385/GCF_014156385.1_ASM1415638v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","Kn54w","SAMN21849947","PRJNA636233","GCA_021190975.1","Contig",2.55185,31.9,,"JAIWMZ01",67,2321,"2021-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/190/975/GCA_021190975.1_ASM2119097v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/190/975/GCF_021190975.1_ASM2119097v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","IIF6SC-B6","SAMN15815277","PRJNA657113","GCA_014266325.1","Contig",2.48018,32,,"JACMVS01",31,2174,"2020-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/266/325/GCA_014266325.1_ASM1426632v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/266/325/GCF_014266325.1_ASM1426632v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","IIF4SC-B2","SAMN15815268","PRJNA657113","GCA_014267225.1","Contig",2.46082,32,,"JACMVJ01",32,2158,"2020-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/267/225/GCA_014267225.1_ASM1426722v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/267/225/GCF_014267225.1_ASM1426722v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NC73","SAMN20525639","PRJNA636233","GCA_021188745.1","Contig",2.45598,32,,"JAIBMS01",55,2201,"2021-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/188/745/GCA_021188745.1_ASM2118874v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/188/745/GCF_021188745.1_ASM2118874v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","S43","SAMN20568230","PRJNA636233","GCA_021190395.1","Contig",2.42935,32,,"JAIEXP01",35,2191,"2021-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/190/395/GCA_021190395.1_ASM2119039v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/190/395/GCF_021190395.1_ASM2119039v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","99","SAMN13150800","PRJNA579981","GCA_009757185.1","Scaffold",2.44347,32,,"WLVA01",5,2188,"2019-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/757/185/GCA_009757185.1_ASM975718v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/757/185/GCF_009757185.1_ASM975718v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","ABKVF","SAMN17729843","PRJNA694925","GCA_022352535.1","Contig",2.507,32,,"JAKRZY01",31,2282,"2022-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/352/535/GCA_022352535.1_ASM2235253v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/352/535/GCF_022352535.1_ASM2235253v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","SNUT","SAMN04386398","PRJNA308053","GCA_001516785.1","Scaffold",2.51166,32,,"LQRB01",48,2266,"2016-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/785/GCA_001516785.1_ASM151678v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/785/GCF_001516785.1_ASM151678v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","C133","SAMN16376636","PRJNA667485","GCA_015221215.1","Contig",2.41425,32,,"JADBPI01",22,2150,"2020-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/221/215/GCA_015221215.1_ASM1522121v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/221/215/GCF_015221215.1_ASM1522121v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","4928STDY7071643","SAMEA104567748","PRJEB22252","GCA_902164795.1","Scaffold",2.40398,32,,"CABHDW01",26,2162,"2019-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/164/795/GCA_902164795.1_25426_7_359","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/164/795/GCF_902164795.1_25426_7_359"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","1H8","SAMN18793307","PRJNA722783","GCA_018408135.1","Contig",2.52223,31.9,,"JAGSWS01",28,2303,"2021-05-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/408/135/GCA_018408135.1_ASM1840813v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/408/135/GCF_018408135.1_ASM1840813v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","APC 3783","SAMN10929348","PRJNA521309","GCA_009896905.1","Contig",2.41206,32,,"SHEJ01",25,2123,"2020-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/896/905/GCA_009896905.1_ASM989690v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/896/905/GCF_009896905.1_ASM989690v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","R5970","SAMN15665301","PRJNA649052","GCA_015273275.1","Contig",2.51816,31.9,,"JACGRK01",23,2249,"2020-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/273/275/GCA_015273275.1_ASM1527327v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/273/275/GCF_015273275.1_ASM1527327v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","R5972","SAMN15665303","PRJNA649052","GCA_015273235.1","Contig",2.51731,31.9,,"JACGRM01",22,2248,"2020-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/273/235/GCA_015273235.1_ASM1527323v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/273/235/GCF_015273235.1_ASM1527323v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","R5971","SAMN15665302","PRJNA649052","GCA_015273245.1","Contig",2.51844,31.9,,"JACGRL01",24,2250,"2020-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/273/245/GCA_015273245.1_ASM1527324v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/273/245/GCF_015273245.1_ASM1527324v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","DE0310","SAMN11792470","PRJNA543692","GCA_007674085.1","Scaffold",2.91821,32.2,,"VEAX01",1060,2565,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/674/085/GCA_007674085.1_ASM767408v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/674/085/GCF_007674085.1_ASM767408v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","AAJWJ","SAMN17729793","PRJNA694925","GCA_022353025.1","Contig",2.46469,32,,"JAKSAN01",32,2239,"2022-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/353/025/GCA_022353025.1_ASM2235302v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/353/025/GCF_022353025.1_ASM2235302v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","C148","SAMN16376658","PRJNA667485","GCA_015221005.1","Contig",2.55827,32.5,,"JADBPQ01",117,2410,"2020-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/221/005/GCA_015221005.1_ASM1522100v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/221/005/GCF_015221005.1_ASM1522100v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","F42UW","SAMN21849942","PRJNA636233","GCA_021191135.1","Contig",2.54989,31.9,,"JAIWMU01",40,2328,"2021-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/191/135/GCA_021191135.1_ASM2119113v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/191/135/GCF_021191135.1_ASM2119113v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","BB431156H","SAMN12840209","PRJNA574294","GCA_008922805.1","Contig",2.56194,31.9,,"WBRF01",31,2347,"2019-10-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/922/805/GCA_008922805.1_ASM892280v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/922/805/GCF_008922805.1_ASM892280v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","ABKVQ","SAMN17729853","PRJNA694925","GCA_022428385.1","Contig",2.5109,31.9,,"JAKTAC01",27,2269,"2022-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/428/385/GCA_022428385.1_ASM2242838v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/428/385/GCF_022428385.1_ASM2242838v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","DE0492","SAMN11792652","PRJNA543692","GCA_007667145.1","Scaffold",2.45232,32.1,,"VDQN01",81,2226,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/145/GCA_007667145.1_ASM766714v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/145/GCF_007667145.1_ASM766714v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","DE0481","SAMN11792641","PRJNA543692","GCA_007667315.1","Scaffold",2.44883,32.1,,"VDQV01",65,2217,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/315/GCA_007667315.1_ASM766731v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/315/GCF_007667315.1_ASM766731v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","SCH-15","SAMN07839768","PRJNA415995","GCA_002750265.1","Scaffold",2.58271,32,,"PEJE01",55,2358,"2017-11-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/265/GCA_002750265.1_ASM275026v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/265/GCF_002750265.1_ASM275026v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","ABKVG","SAMN17729844","PRJNA694925","GCA_022352685.1","Contig",2.55178,31.9,,"JAKSAD01",37,2309,"2022-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/352/685/GCA_022352685.1_ASM2235268v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/352/685/GCF_022352685.1_ASM2235268v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","s2","SAMN09865938","PRJNA486830","GCA_016808675.1","Contig",2.38462,32.1,,"QVTI01",20,2121,"2021-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/808/675/GCA_016808675.1_ASM1680867v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/808/675/GCF_016808675.1_ASM1680867v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","JMF-2008-C-0013","SAMN26531262","PRJNA804670","GCA_022586535.1","Contig",2.54415,31.9,,"JAKZOV01",22,2314,"2022-03-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/586/535/GCA_022586535.1_ASM2258653v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/586/535/GCF_022586535.1_ASM2258653v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","INc3","SAMN21849939","PRJNA636233","GCA_021191255.1","Contig",2.55231,32,,"JAIWMR01",53,2321,"2021-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/191/255/GCA_021191255.1_ASM2119125v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/191/255/GCF_021191255.1_ASM2119125v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","SE73","SAMN12840244","PRJNA574294","GCA_008922175.1","Contig",2.50769,32,,"WBPX01",87,2301,"2019-10-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/922/175/GCA_008922175.1_ASM892217v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/922/175/GCF_008922175.1_ASM892217v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","14.1.R1","SAMN27064491","PRJNA820630","GCA_022815765.1","Contig",2.55432,32,,"JALGXE01",39,2344,"2022-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/815/765/GCA_022815765.1_ASM2281576v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/815/765/GCF_022815765.1_ASM2281576v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","DE0497","SAMN11792657","PRJNA543692","GCA_007667095.1","Scaffold",2.52764,32.1,,"VDQJ01",77,2308,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/095/GCA_007667095.1_ASM766709v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/095/GCF_007667095.1_ASM766709v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","DE0484","SAMN11792644","PRJNA543692","GCA_007667235.1","Scaffold",2.52376,32.1,,"VDQS01",69,2302,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/235/GCA_007667235.1_ASM766723v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/235/GCF_007667235.1_ASM766723v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","MFP04","SAMN15660212","PRJNA649214","GCA_014436665.1","Contig",2.47723,31.9,,"JACFUA01",48,2204,"2020-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/436/665/GCA_014436665.1_ASM1443666v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/436/665/GCF_014436665.1_ASM1443666v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","R5973","SAMN15665304","PRJNA649052","GCA_015273175.1","Contig",2.51634,31.9,,"JACGRN01",27,2253,"2020-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/273/175/GCA_015273175.1_ASM1527317v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/273/175/GCF_015273175.1_ASM1527317v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NW32","SAMN04041579","PRJNA295134","GCA_001431005.1","Contig",2.60071,31.8,,"LJIF01",87,2357,"2015-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/431/005/GCA_001431005.1_ASM143100v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/431/005/GCF_001431005.1_ASM143100v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","DE0181","SAMN11792341","PRJNA543692","GCA_007678185.1","Scaffold",2.53634,31.9,,"VEEC01",48,2318,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/185/GCA_007678185.1_ASM767818v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/185/GCF_007678185.1_ASM767818v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","IIF6SC-B6-RA","SAMN15815317","PRJNA657113","GCA_014265325.1","Contig",2.47868,32,,"JACMXG01",34,2169,"2020-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/265/325/GCA_014265325.1_ASM1426532v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/265/325/GCF_014265325.1_ASM1426532v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","R5955","SAMN15665280","PRJNA649052","GCA_015273735.1","Contig",2.54266,31.9,,"JACGQP01",24,2240,"2020-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/273/735/GCA_015273735.1_ASM1527373v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/273/735/GCF_015273735.1_ASM1527373v1"
