Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Scap_DM21B06,Sepi_1A04_aa,Sepi_1C01_aa,Sepi_28C03_a,Sepi_28C09_a,Sepi_29G01_a,Sepi_2A01_aa,Sepi_2C10_ad,Sepi_2D07_ad,Sepi_2d12_aa,Sepi_2E07_ad,Sepi_2g06_aa,Sepi_30A07_a,Sepi_30B01_a,Sepi_3A01_ad,Sepi_3A05_ad,Sepi_3A07_ad,Sepi_3a11_aa,Sepi_3C06_ad,Sepi_3c09_aa,Sepi_3c10_aa,Sepi_3D11_aa,Sepi_58D03_C,Sepi_58D04_C,Sepi_58F01_C,Sepi_5A02_aa,Sepi_5B11_aa,Sepi_5c01_aa,Sepi_5C04_ad,Sepi_61B02_C,Sepi_63G02_C,Sepi_6A01_aa,Sepi_6b04_aa,Sepi_6B08_ad,Sepi_6C06_aa,Sepi_6C08_ad,Sepi_6d05_aa,Sepi_6E08_ad,Sepi_7a07_aa,Sepi_7B05_aa,Sepi_8C10_ad,Sepi_9B05_ad,Sepi_9D01_ad,Sepi_9d05_aa,Sepi_9d06_aa,Sepi_9E06_aa,Sepi_DM12F07,Sepi_DM12G05,Sepi_DM12H06,Sepi_DM1B01_,Sepi_DM21A02,Sepi_DM21B07,Sepi_DM21C07,Sepi_DM21F02,Sepi_DM23A01,Sepi_DM23A02,Sepi_DM23A03,Sepi_DM23C12,Sepi_DM23E02,Sepi_DM23E06,Sepi_DM24B02,Sepi_DM24B03,Sepi_DM24B04,Sepi_DM24G04,Sepi_DM24G05,Sepi_DM2D11_,Sepi_DM2G10_,Sepi_DM2H03_,Sepi_DM39F06,Sepi_DM3A08_,Shom_28C10_a,Shom_6C072_a,Shom_DM12H05
xpt,xpt,Xanthine phosphoribosyltransferase,73,73,1.0,1,3519,,,,579,579,579.0,Scap_DM21B06_01470,Sepi_1A04_aa_00527,Sepi_1C01_aa_02066,Sepi_28C03_a_00698,Sepi_28C09_a_01479,Sepi_29G01_a_00041,Sepi_2A01_aa_00505,Sepi_2C10_ad_02002,Sepi_2D07_ad_01409,Sepi_2d12_aa_02283,Sepi_2E07_ad_01141,Sepi_2g06_aa_01804,Sepi_30A07_a_02175,Sepi_30B01_a_00429,Sepi_3A01_ad_02045,Sepi_3A05_ad_01944,Sepi_3A07_ad_01851,Sepi_3a11_aa_01549,Sepi_3C06_ad_00819,Sepi_3c09_aa_01147,Sepi_3c10_aa_01642,Sepi_3D11_aa_01143,Sepi_58D03_C_00843,Sepi_58D04_C_02397,Sepi_58F01_C_01433,Sepi_5A02_aa_01268,Sepi_5B11_aa_01403,Sepi_5c01_aa_00108,Sepi_5C04_ad_01712,Sepi_61B02_C_00995,Sepi_63G02_C_01401,Sepi_6A01_aa_00994,Sepi_6b04_aa_00073,Sepi_6B08_ad_01901,Sepi_6C06_aa_01408,Sepi_6C08_ad_00929,Sepi_6d05_aa_02438,Sepi_6E08_ad_00221,Sepi_7a07_aa_01164,Sepi_7B05_aa_01759,Sepi_8C10_ad_01444,Sepi_9B05_ad_01094,Sepi_9D01_ad_01506,Sepi_9d05_aa_02321,Sepi_9d06_aa_01262,Sepi_9E06_aa_01808,Sepi_DM12F07_01361,Sepi_DM12G05_00798,Sepi_DM12H06_01600,Sepi_DM1B01__01744,Sepi_DM21A02_01441,Sepi_DM21B07_00975,Sepi_DM21C07_00980,Sepi_DM21F02_02146,Sepi_DM23A01_01563,Sepi_DM23A02_01362,Sepi_DM23A03_01237,Sepi_DM23C12_01274,Sepi_DM23E02_01338,Sepi_DM23E06_02050,Sepi_DM24B02_01317,Sepi_DM24B03_00771,Sepi_DM24B04_00563,Sepi_DM24G04_01442,Sepi_DM24G05_01339,Sepi_DM2D11__01362,Sepi_DM2G10__01184,Sepi_DM2H03__00682,Sepi_DM39F06_00341,Sepi_DM3A08__01344,Shom_28C10_a_02100,Shom_6C072_a_01816,Shom_DM12H05_01233
isaA,isaA,putative transglycosylase IsaA,73,73,1.0,1,3518,,,,708,708,708.0,Scap_DM21B06_01268,Sepi_1A04_aa_02055,Sepi_1C01_aa_00704,Sepi_28C03_a_02189,Sepi_28C09_a_01030,Sepi_29G01_a_02168,Sepi_2A01_aa_01364,Sepi_2C10_ad_01679,Sepi_2D07_ad_00789,Sepi_2d12_aa_01858,Sepi_2E07_ad_01823,Sepi_2g06_aa_01000,Sepi_30A07_a_01522,Sepi_30B01_a_02284,Sepi_3A01_ad_00631,Sepi_3A05_ad_01238,Sepi_3A07_ad_01286,Sepi_3a11_aa_01597,Sepi_3C06_ad_01462,Sepi_3c09_aa_02262,Sepi_3c10_aa_01166,Sepi_3D11_aa_00413,Sepi_58D03_C_00370,Sepi_58D04_C_01972,Sepi_58F01_C_01819,Sepi_5A02_aa_01498,Sepi_5B11_aa_01446,Sepi_5c01_aa_02067,Sepi_5C04_ad_01196,Sepi_61B02_C_01411,Sepi_63G02_C_02234,Sepi_6A01_aa_01242,Sepi_6b04_aa_00645,Sepi_6B08_ad_00353,Sepi_6C06_aa_00542,Sepi_6C08_ad_02337,Sepi_6d05_aa_02016,Sepi_6E08_ad_02127,Sepi_7a07_aa_02195,Sepi_7B05_aa_01599,Sepi_8C10_ad_02150,Sepi_9B05_ad_02187,Sepi_9D01_ad_01014,Sepi_9d05_aa_00329,Sepi_9d06_aa_00209,Sepi_9E06_aa_01504,Sepi_DM12F07_01212,Sepi_DM12G05_00753,Sepi_DM12H06_00335,Sepi_DM1B01__01279,Sepi_DM21A02_01666,Sepi_DM21B07_01624,Sepi_DM21C07_00264,Sepi_DM21F02_02343,Sepi_DM23A01_01165,Sepi_DM23A02_01198,Sepi_DM23A03_01721,Sepi_DM23C12_01554,Sepi_DM23E02_01631,Sepi_DM23E06_00900,Sepi_DM24B02_01556,Sepi_DM24B03_00518,Sepi_DM24B04_00002,Sepi_DM24G04_01255,Sepi_DM24G05_00602,Sepi_DM2D11__02366,Sepi_DM2G10__01796,Sepi_DM2H03__00672,Sepi_DM39F06_01443,Sepi_DM3A08__02309,Shom_28C10_a_01256,Shom_6C072_a_02077,Shom_DM12H05_02153
group_2242,,hypothetical protein,73,73,1.0,1,3517,,,,123,135,134.67123287671234,Scap_DM21B06_02115,Sepi_1A04_aa_02218,Sepi_1C01_aa_00609,Sepi_28C03_a_02285,Sepi_28C09_a_02091,Sepi_29G01_a_01543,Sepi_2A01_aa_01691,Sepi_2C10_ad_02060,Sepi_2D07_ad_00292,Sepi_2d12_aa_01948,Sepi_2E07_ad_00768,Sepi_2g06_aa_01090,Sepi_30A07_a_02036,Sepi_30B01_a_01216,Sepi_3A01_ad_01660,Sepi_3A05_ad_01654,Sepi_3A07_ad_01930,Sepi_3a11_aa_01733,Sepi_3C06_ad_01946,Sepi_3c09_aa_00600,Sepi_3c10_aa_01886,Sepi_3D11_aa_00538,Sepi_58D03_C_01793,Sepi_58D04_C_02062,Sepi_58F01_C_01725,Sepi_5A02_aa_01407,Sepi_5B11_aa_01873,Sepi_5c01_aa_02162,Sepi_5C04_ad_01107,Sepi_61B02_C_01868,Sepi_63G02_C_00959,Sepi_6A01_aa_01895,Sepi_6b04_aa_01512,Sepi_6B08_ad_00982,Sepi_6C06_aa_00412,Sepi_6C08_ad_01440,Sepi_6d05_aa_02136,Sepi_6E08_ad_01522,Sepi_7a07_aa_01651,Sepi_7B05_aa_01943,Sepi_8C10_ad_01102,Sepi_9B05_ad_01783,Sepi_9D01_ad_01104,Sepi_9d05_aa_00238,Sepi_9d06_aa_01797,Sepi_9E06_aa_01413,Sepi_DM12F07_00954,Sepi_DM12G05_01847,Sepi_DM12H06_00458,Sepi_DM1B01__00999,Sepi_DM21A02_01939,Sepi_DM21B07_02215,Sepi_DM21C07_00173,Sepi_DM21F02_01692,Sepi_DM23A01_01073,Sepi_DM23A02_01287,Sepi_DM23A03_02006,Sepi_DM23C12_01978,Sepi_DM23E02_01537,Sepi_DM23E06_00808,Sepi_DM24B02_02096,Sepi_DM24B03_00397,Sepi_DM24B04_00122,Sepi_DM24G04_01352,Sepi_DM24G05_00722,Sepi_DM2D11__00868,Sepi_DM2G10__00845,Sepi_DM2H03__00624,Sepi_DM39F06_01535,Sepi_DM3A08__02025,Shom_28C10_a_01746,Shom_6C072_a_00606,Shom_DM12H05_00571
rsmG,rsmG,Ribosomal RNA small subunit methyltransferase G,73,73,1.0,1,3516,,,,720,720,720.0,Scap_DM21B06_01716,Sepi_1A04_aa_00582,Sepi_1C01_aa_01358,Sepi_28C03_a_01472,Sepi_28C09_a_01426,Sepi_29G01_a_00127,Sepi_2A01_aa_00451,Sepi_2C10_ad_01088,Sepi_2D07_ad_01353,Sepi_2d12_aa_02203,Sepi_2E07_ad_01082,Sepi_2g06_aa_01528,Sepi_30A07_a_01292,Sepi_30B01_a_00342,Sepi_3A01_ad_02182,Sepi_3A05_ad_02211,Sepi_3A07_ad_01466,Sepi_3a11_aa_02284,Sepi_3C06_ad_00191,Sepi_3c09_aa_01200,Sepi_3c10_aa_00419,Sepi_3D11_aa_01204,Sepi_58D03_C_00896,Sepi_58D04_C_02344,Sepi_58F01_C_01494,Sepi_5A02_aa_01323,Sepi_5B11_aa_02006,Sepi_5c01_aa_02396,Sepi_5C04_ad_01965,Sepi_61B02_C_01055,Sepi_63G02_C_01345,Sepi_6A01_aa_01351,Sepi_6b04_aa_01710,Sepi_6B08_ad_01503,Sepi_6C06_aa_01467,Sepi_6C08_ad_00989,Sepi_6d05_aa_02377,Sepi_6E08_ad_00134,Sepi_7a07_aa_01104,Sepi_7B05_aa_01706,Sepi_8C10_ad_00828,Sepi_9B05_ad_01040,Sepi_9D01_ad_01615,Sepi_9d05_aa_02380,Sepi_9d06_aa_00936,Sepi_9E06_aa_02199,Sepi_DM12F07_01829,Sepi_DM12G05_01441,Sepi_DM12H06_01659,Sepi_DM1B01__01588,Sepi_DM21A02_01496,Sepi_DM21B07_01034,Sepi_DM21C07_01590,Sepi_DM21F02_01528,Sepi_DM23A01_02104,Sepi_DM23A02_01417,Sepi_DM23A03_01180,Sepi_DM23C12_01331,Sepi_DM23E02_01431,Sepi_DM23E06_01650,Sepi_DM24B02_01381,Sepi_DM24B03_00834,Sepi_DM24B04_00626,Sepi_DM24G04_01506,Sepi_DM24G05_01402,Sepi_DM2D11__01282,Sepi_DM2G10__01452,Sepi_DM2H03__00762,Sepi_DM39F06_00398,Sepi_DM3A08__01795,Shom_28C10_a_01586,Shom_6C072_a_01988,Shom_DM12H05_01174
group_2241,,hypothetical protein,73,73,1.0,1,3515,,,,192,276,193.15068493150685,Scap_DM21B06_01704,Sepi_1A04_aa_00571,Sepi_1C01_aa_01370,Sepi_28C03_a_00624,Sepi_28C09_a_01438,Sepi_29G01_a_00115,Sepi_2A01_aa_00464,Sepi_2C10_ad_01076,Sepi_2D07_ad_01365,Sepi_2d12_aa_02215,Sepi_2E07_ad_01094,Sepi_2g06_aa_01542,Sepi_30A07_a_01280,Sepi_30B01_a_00355,Sepi_3A01_ad_02195,Sepi_3A05_ad_02198,Sepi_3A07_ad_01454,Sepi_3a11_aa_02295,Sepi_3C06_ad_00203,Sepi_3c09_aa_01188,Sepi_3c10_aa_00432,Sepi_3D11_aa_01193,Sepi_58D03_C_00884,Sepi_58D04_C_02356,Sepi_58F01_C_01482,Sepi_5A02_aa_01312,Sepi_5B11_aa_01349,Sepi_5c01_aa_02408,Sepi_5C04_ad_01953,Sepi_61B02_C_01042,Sepi_63G02_C_01357,Sepi_6A01_aa_01338,Sepi_6b04_aa_01698,Sepi_6B08_ad_01516,Sepi_6C06_aa_01456,Sepi_6C08_ad_00977,Sepi_6d05_aa_02388,Sepi_6E08_ad_00147,Sepi_7a07_aa_01117,Sepi_7B05_aa_01718,Sepi_8C10_ad_00840,Sepi_9B05_ad_01053,Sepi_9D01_ad_01627,Sepi_9d05_aa_02368,Sepi_9d06_aa_00923,Sepi_9E06_aa_02211,Sepi_DM12F07_01840,Sepi_DM12G05_00869,Sepi_DM12H06_01648,Sepi_DM1B01__01599,Sepi_DM21A02_01485,Sepi_DM21B07_01022,Sepi_DM21C07_01027,Sepi_DM21F02_01516,Sepi_DM23A01_01490,Sepi_DM23A02_01406,Sepi_DM23A03_01192,Sepi_DM23C12_01319,Sepi_DM23E02_01416,Sepi_DM23E06_01662,Sepi_DM24B02_01370,Sepi_DM24B03_00822,Sepi_DM24B04_00614,Sepi_DM24G04_01495,Sepi_DM24G05_01390,Sepi_DM2D11__01294,Sepi_DM2G10__01440,Sepi_DM2H03__00750,Sepi_DM39F06_00386,Sepi_DM3A08__01783,Shom_28C10_a_01574,Shom_6C072_a_01772,Shom_DM12H05_01185
lysP_2,lysP_2,Lysine-specific permease,73,73,1.0,1,3510,,,,1470,1503,1502.5479452054794,Scap_DM21B06_00862,Sepi_1A04_aa_01108,Sepi_1C01_aa_00485,Sepi_28C03_a_00973,Sepi_28C09_a_00036,Sepi_29G01_a_00995,Sepi_2A01_aa_01769,Sepi_2C10_ad_01545,Sepi_2D07_ad_00682,Sepi_2d12_aa_01065,Sepi_2E07_ad_00237,Sepi_2g06_aa_01153,Sepi_30A07_a_00680,Sepi_30B01_a_01747,Sepi_3A01_ad_02168,Sepi_3A05_ad_00614,Sepi_3A07_ad_00770,Sepi_3a11_aa_00188,Sepi_3C06_ad_01363,Sepi_3c09_aa_00501,Sepi_3c10_aa_01402,Sepi_3D11_aa_00270,Sepi_58D03_C_01342,Sepi_58D04_C_00962,Sepi_58F01_C_00228,Sepi_5A02_aa_00724,Sepi_5B11_aa_02136,Sepi_5c01_aa_01311,Sepi_5C04_ad_00569,Sepi_61B02_C_00695,Sepi_63G02_C_01209,Sepi_6A01_aa_01734,Sepi_6b04_aa_01902,Sepi_6B08_ad_01157,Sepi_6C06_aa_00944,Sepi_6C08_ad_00092,Sepi_6d05_aa_00509,Sepi_6E08_ad_00569,Sepi_7a07_aa_01392,Sepi_7B05_aa_00269,Sepi_8C10_ad_00216,Sepi_9B05_ad_01298,Sepi_9D01_ad_01188,Sepi_9d05_aa_01096,Sepi_9d06_aa_00728,Sepi_9E06_aa_00900,Sepi_DM12F07_00399,Sepi_DM12G05_00267,Sepi_DM12H06_01265,Sepi_DM1B01__00536,Sepi_DM21A02_01022,Sepi_DM21B07_00875,Sepi_DM21C07_01399,Sepi_DM21F02_00373,Sepi_DM23A01_00160,Sepi_DM23A02_00698,Sepi_DM23A03_00977,Sepi_DM23C12_01015,Sepi_DM23E02_00465,Sepi_DM23E06_00439,Sepi_DM24B02_00746,Sepi_DM24B03_01066,Sepi_DM24B04_00327,Sepi_DM24G04_00641,Sepi_DM24G05_01252,Sepi_DM2D11__01045,Sepi_DM2G10__02052,Sepi_DM2H03__00079,Sepi_DM39F06_00858,Sepi_DM3A08__00095,Shom_28C10_a_00269,Shom_6C072_a_01333,Shom_DM12H05_01439
pgsA,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,73,73,1.0,1,3509,,,,582,582,582.0,Scap_DM21B06_00313,Sepi_1A04_aa_00853,Sepi_1C01_aa_00355,Sepi_28C03_a_00216,Sepi_28C09_a_00452,Sepi_29G01_a_00416,Sepi_2A01_aa_00868,Sepi_2C10_ad_00260,Sepi_2D07_ad_00118,Sepi_2d12_aa_00691,Sepi_2E07_ad_00476,Sepi_2g06_aa_00871,Sepi_30A07_a_01646,Sepi_30B01_a_00216,Sepi_3A01_ad_00044,Sepi_3A05_ad_00044,Sepi_3A07_ad_01399,Sepi_3a11_aa_00437,Sepi_3C06_ad_00630,Sepi_3c09_aa_00783,Sepi_3c10_aa_00052,Sepi_3D11_aa_01472,Sepi_58D03_C_00115,Sepi_58D04_C_01611,Sepi_58F01_C_00606,Sepi_5A02_aa_00690,Sepi_5B11_aa_01733,Sepi_5c01_aa_00933,Sepi_5C04_ad_00149,Sepi_61B02_C_00150,Sepi_63G02_C_00496,Sepi_6A01_aa_00263,Sepi_6b04_aa_00352,Sepi_6B08_ad_00088,Sepi_6C06_aa_01648,Sepi_6C08_ad_00681,Sepi_6d05_aa_00884,Sepi_6E08_ad_00477,Sepi_7a07_aa_00916,Sepi_7B05_aa_00586,Sepi_8C10_ad_00641,Sepi_9B05_ad_00149,Sepi_9D01_ad_00865,Sepi_9d05_aa_01521,Sepi_9d06_aa_01646,Sepi_9E06_aa_00666,Sepi_DM12F07_00040,Sepi_DM12G05_00127,Sepi_DM12H06_00295,Sepi_DM1B01__00169,Sepi_DM21A02_00272,Sepi_DM21B07_00313,Sepi_DM21C07_00631,Sepi_DM21F02_00702,Sepi_DM23A01_01336,Sepi_DM23A02_00030,Sepi_DM23A03_00630,Sepi_DM23C12_00562,Sepi_DM23E02_00091,Sepi_DM23E06_00902,Sepi_DM24B02_01794,Sepi_DM24B03_00027,Sepi_DM24B04_01182,Sepi_DM24G04_01826,Sepi_DM24G05_00294,Sepi_DM2D11__00708,Sepi_DM2G10__02293,Sepi_DM2H03__00374,Sepi_DM39F06_01068,Sepi_DM3A08__00806,Shom_28C10_a_00349,Shom_6C072_a_00080,Shom_DM12H05_00295
group_2233,,hypothetical protein,73,73,1.0,1,3504,,,,183,183,183.0,Scap_DM21B06_01928,Sepi_1A04_aa_02043,Sepi_1C01_aa_01930,Sepi_28C03_a_02440,Sepi_28C09_a_02005,Sepi_29G01_a_02418,Sepi_2A01_aa_01352,Sepi_2C10_ad_02166,Sepi_2D07_ad_00802,Sepi_2d12_aa_01847,Sepi_2E07_ad_00817,Sepi_2g06_aa_02201,Sepi_30A07_a_00655,Sepi_30B01_a_02451,Sepi_3A01_ad_00644,Sepi_3A05_ad_02127,Sepi_3A07_ad_00275,Sepi_3a11_aa_01767,Sepi_3C06_ad_02000,Sepi_3c09_aa_02026,Sepi_3c10_aa_01153,Sepi_3D11_aa_00898,Sepi_58D03_C_00483,Sepi_58D04_C_01959,Sepi_58F01_C_01831,Sepi_5A02_aa_01217,Sepi_5B11_aa_01841,Sepi_5c01_aa_02055,Sepi_5C04_ad_00964,Sepi_61B02_C_02136,Sepi_63G02_C_02085,Sepi_6A01_aa_01928,Sepi_6b04_aa_01406,Sepi_6B08_ad_00340,Sepi_6C06_aa_00767,Sepi_6C08_ad_02054,Sepi_6d05_aa_02004,Sepi_6E08_ad_02460,Sepi_7a07_aa_02126,Sepi_7B05_aa_02017,Sepi_8C10_ad_01826,Sepi_9B05_ad_02035,Sepi_9D01_ad_00620,Sepi_9d05_aa_00341,Sepi_9d06_aa_00221,Sepi_9E06_aa_00508,Sepi_DM12F07_00548,Sepi_DM12G05_00325,Sepi_DM12H06_01124,Sepi_DM1B01__01694,Sepi_DM21A02_02131,Sepi_DM21B07_02007,Sepi_DM21C07_01708,Sepi_DM21F02_01452,Sepi_DM23A01_01346,Sepi_DM23A02_02292,Sepi_DM23A03_00906,Sepi_DM23C12_00621,Sepi_DM23E02_00881,Sepi_DM23E06_02251,Sepi_DM24B02_00655,Sepi_DM24B03_01335,Sepi_DM24B04_00783,Sepi_DM24G04_00255,Sepi_DM24G05_00590,Sepi_DM2D11__00316,Sepi_DM2G10__00243,Sepi_DM2H03__00804,Sepi_DM39F06_02132,Sepi_DM3A08__00439,Shom_28C10_a_01864,Shom_6C072_a_00424,Shom_DM12H05_01578
yxdL,yxdL,ABC transporter ATP-binding protein YxdL,73,73,1.0,1,3502,,,,750,750,750.0,Scap_DM21B06_01331,Sepi_1A04_aa_01381,Sepi_1C01_aa_00642,Sepi_28C03_a_02023,Sepi_28C09_a_01092,Sepi_29G01_a_01574,Sepi_2A01_aa_01721,Sepi_2C10_ad_01617,Sepi_2D07_ad_00727,Sepi_2d12_aa_01918,Sepi_2E07_ad_01885,Sepi_2g06_aa_01062,Sepi_30A07_a_01584,Sepi_30B01_a_01247,Sepi_3A01_ad_00568,Sepi_3A05_ad_01302,Sepi_3A07_ad_01348,Sepi_3a11_aa_01661,Sepi_3C06_ad_01400,Sepi_3c09_aa_01622,Sepi_3c10_aa_01230,Sepi_3D11_aa_00474,Sepi_58D03_C_01056,Sepi_58D04_C_02034,Sepi_58F01_C_01755,Sepi_5A02_aa_01437,Sepi_5B11_aa_01508,Sepi_5c01_aa_02131,Sepi_5C04_ad_01135,Sepi_61B02_C_01473,Sepi_63G02_C_01782,Sepi_6A01_aa_01180,Sepi_6b04_aa_01438,Sepi_6B08_ad_00774,Sepi_6C06_aa_00484,Sepi_6C08_ad_01473,Sepi_6d05_aa_02077,Sepi_6E08_ad_01491,Sepi_7a07_aa_01621,Sepi_7B05_aa_01661,Sepi_8C10_ad_01073,Sepi_9B05_ad_01939,Sepi_9D01_ad_01076,Sepi_9d05_aa_00266,Sepi_9d06_aa_01770,Sepi_9E06_aa_01441,Sepi_DM12F07_01269,Sepi_DM12G05_00692,Sepi_DM12H06_00392,Sepi_DM1B01__01339,Sepi_DM21A02_01728,Sepi_DM21B07_01561,Sepi_DM21C07_00201,Sepi_DM21F02_01106,Sepi_DM23A01_01102,Sepi_DM23A02_01258,Sepi_DM23A03_01783,Sepi_DM23C12_01492,Sepi_DM23E02_01563,Sepi_DM23E06_00837,Sepi_DM24B02_01614,Sepi_DM24B03_00457,Sepi_DM24B04_00063,Sepi_DM24G04_01313,Sepi_DM24G05_00663,Sepi_DM2D11__00898,Sepi_DM2G10__00815,Sepi_DM2H03__00594,Sepi_DM39F06_01506,Sepi_DM3A08__01995,Shom_28C10_a_01318,Shom_6C072_a_01728,Shom_DM12H05_01909
clpP,clpP,ATP-dependent Clp protease proteolytic subunit,73,73,1.0,1,3501,,,,585,585,585.0,Scap_DM21B06_01396,Sepi_1A04_aa_00421,Sepi_1C01_aa_01148,Sepi_28C03_a_02068,Sepi_28C09_a_01816,Sepi_29G01_a_02104,Sepi_2A01_aa_00373,Sepi_2C10_ad_00550,Sepi_2D07_ad_01251,Sepi_2d12_aa_00257,Sepi_2E07_ad_01428,Sepi_2g06_aa_00150,Sepi_30A07_a_00253,Sepi_30B01_a_01884,Sepi_3A01_ad_01558,Sepi_3A05_ad_01537,Sepi_3A07_ad_01585,Sepi_3a11_aa_01114,Sepi_3C06_ad_00914,Sepi_3c09_aa_01403,Sepi_3c10_aa_01501,Sepi_3D11_aa_01344,Sepi_58D03_C_00686,Sepi_58D04_C_00257,Sepi_58F01_C_01071,Sepi_5A02_aa_00257,Sepi_5B11_aa_01016,Sepi_5c01_aa_00469,Sepi_5C04_ad_00894,Sepi_61B02_C_00901,Sepi_63G02_C_00112,Sepi_6A01_aa_01792,Sepi_6b04_aa_01238,Sepi_6B08_ad_00244,Sepi_6C06_aa_01383,Sepi_6C08_ad_01320,Sepi_6d05_aa_01322,Sepi_6E08_ad_02004,Sepi_7a07_aa_00320,Sepi_7B05_aa_00753,Sepi_8C10_ad_01185,Sepi_9B05_ad_01926,Sepi_9D01_ad_00017,Sepi_9d05_aa_01966,Sepi_9d06_aa_01936,Sepi_9E06_aa_00112,Sepi_DM12F07_01456,Sepi_DM12G05_01607,Sepi_DM12H06_00855,Sepi_DM1B01__00676,Sepi_DM21A02_00632,Sepi_DM21B07_01399,Sepi_DM21C07_00902,Sepi_DM21F02_01153,Sepi_DM23A01_00737,Sepi_DM23A02_00457,Sepi_DM23A03_00109,Sepi_DM23C12_00109,Sepi_DM23E02_01698,Sepi_DM23E06_00204,Sepi_DM24B02_00117,Sepi_DM24B03_01841,Sepi_DM24B04_01895,Sepi_DM24G04_01182,Sepi_DM24G05_01882,Sepi_DM2D11__00046,Sepi_DM2G10__00582,Sepi_DM2H03__01126,Sepi_DM39F06_01388,Sepi_DM3A08__01552,Shom_28C10_a_01510,Shom_6C072_a_01190,Shom_DM12H05_00963
mntA_1~~~mntA,mntA_1;mntA,Manganese-binding lipoprotein MntA,73,73,1.0,1,3500,,,,930,930,930.0,Scap_DM21B06_00551,Sepi_1A04_aa_01291,Sepi_1C01_aa_01003,Sepi_28C03_a_01985,Sepi_28C09_a_00610,Sepi_29G01_a_02070,Sepi_2A01_aa_00236,Sepi_2C10_ad_00382,Sepi_2D07_ad_01115,Sepi_2d12_aa_00121,Sepi_2E07_ad_01212,Sepi_2g06_aa_00339,Sepi_30A07_a_00389,Sepi_30B01_a_01819,Sepi_3A01_ad_01927,Sepi_3A05_ad_00876,Sepi_3A07_ad_00624,Sepi_3a11_aa_01842,Sepi_3C06_ad_00411,Sepi_3c09_aa_00247,Sepi_3c10_aa_01936,Sepi_3D11_aa_01903,Sepi_58D03_C_00561,Sepi_58D04_C_00120,Sepi_58F01_C_01208,Sepi_5A02_aa_00121,Sepi_5B11_aa_01307,Sepi_5c01_aa_00333,Sepi_5C04_ad_00758,Sepi_61B02_C_02093,Sepi_63G02_C_00248,Sepi_6A01_aa_00874,Sepi_6b04_aa_02258,Sepi_6B08_ad_00750,Sepi_6C06_aa_01243,Sepi_6C08_ad_00412,Sepi_6d05_aa_01465,Sepi_6E08_ad_01964,Sepi_7a07_aa_00056,Sepi_7B05_aa_00889,Sepi_8C10_ad_00409,Sepi_9B05_ad_00597,Sepi_9D01_ad_00153,Sepi_9d05_aa_02101,Sepi_9d06_aa_00116,Sepi_9E06_aa_00247,Sepi_DM12F07_01953,Sepi_DM12G05_00906,Sepi_DM12H06_00714,Sepi_DM1B01__00815,Sepi_DM21A02_00495,Sepi_DM21B07_00508,Sepi_DM21C07_01864,Sepi_DM21F02_01873,Sepi_DM23A01_00873,Sepi_DM23A02_00320,Sepi_DM23A03_00246,Sepi_DM23C12_00246,Sepi_DM23E02_01169,Sepi_DM23E06_00340,Sepi_DM24B02_01531,Sepi_DM24B03_02220,Sepi_DM24B04_00452,Sepi_DM24G04_01560,Sepi_DM24G05_00922,Sepi_DM2D11__00182,Sepi_DM2G10__01116,Sepi_DM2H03__01262,Sepi_DM39F06_00238,Sepi_DM3A08__00911,Shom_28C10_a_01050,Shom_6C072_a_01831,Shom_DM12H05_02043
